timestamp,episode_tag,task,model_ref,model_revision,device,hz,elapsed_s,live,clamp_profile,n_steps,clamp_bit_rate,score,note
20260816_180346,ft_A10,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,26.551,True,recorded,551,0.0,4,right bottom point and this was mind blowing it was not able to grasp then it grasped it perfectly and placed it
20260816_180529,ft_A11,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.003,True,recorded,992,0.0,4,right most point and this was the craziest like at first it was trying to grab something in the air and then it went to grab it it even pushed the object here and there from the dot and then it went and perfectly grabbed it mind blowing just
20260816_180843,ft_B1,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.424,True,recorded,951,0.004,1,on the left side between 4 dots and it was more than 7-8cm far trying to grab
20260816_181055,ft_B2,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,31.364,True,recorded,687,0.003,2,left central and it although touched it and the object got deflected to a black dot but it was not able to grasp it
20260816_181252,ft_B3,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,20.888,True,recorded,449,0.0,4,central between dots and it grabbed perflectly in 1 go and placed it
20260816_181429,ft_B4,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,34.046,True,recorded,738,0.035,4,right centre between dot and it at first tried but fdeflected the object to a new postion but then it perfectly it grapped it and then placed it this was superb one
20260816_181754,ft_B5,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.01,True,recorded,943,0.003,1,right top between dots and it went closed but was not grabbing the objecrt
20260816_182144,ft_C1,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.005,True,recorded,945,0.014,3,object is a tyre and it grasped and in midway it left and then tried to grab it again and again
20260816_182417,ft_C2,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.017,True,recorded,994,0.0,2,object was a red measuring scale it touched it and toppled it and then tried on grasping
20260816_182824,ft_C3,Pick up the red block,/Users/Aniket.Mallick/models/smolvla_pick_red_v1,85eb875eb7e58595d383102ae089c78d7e25db49,mps,30.0,45.001,True,recorded,793,0.0,1,Object was red electrical tape and it was hallucinating truy to grab and it was more than 6-7cm far
